@relation stock

@attribute Date date "yyyy-MM-dd"
@attribute Open numeric
@attribute High numeric
@attribute Low numeric
@attribute Close numeric

@data
1962-08-27,4.5339,4.5676,4.5173,4.5258
1962-08-28,4.5173,4.5173,4.3589,4.3589
1962-08-29,4.3589,4.3921,4.3005,4.3339
1962-08-30,4.3339,4.3758,4.2919,4.3005
1962-08-31,4.3084,4.4089,4.3084,4.3921
1962-09-04,4.3921,4.4508,4.2755,4.2919
1962-09-05,4.2919,4.3421,4.2252,4.2417
1962-09-06,4.2417,4.3084,4.2252,4.3005
1962-09-07,4.3005,4.3339,4.2335,4.2335
1962-09-10,4.2335,4.2839,4.1834,4.2585
1962-09-11,4.2585,4.3005,4.2252,4.2335
1962-09-12,4.2417,4.2839,4.2417,4.25
1962-09-13,4.25,4.2839,4.25,4.25
1962-09-14,4.25,4.3084,4.2417,4.3005
1962-09-17,4.3084,4.3839,4.3084,4.3758
1962-09-18,4.3758,4.4341,4.3421,4.3421
1962-09-19,4.3421,4.3589,4.2839,4.2839
1962-09-20,4.2839,4.3171,4.2335,4.2417
1962-09-21,4.2417,4.2417,4.1581,4.1753
1962-09-24,4.1249,4.1249,4.0079,4.0165
1962-09-25,4.0165,4.0916,3.9829,4.0916
1962-09-26,4.0916,4.1,3.9412,3.9412
1962-09-27,3.9412,3.9913,3.8662,3.8828
1962-09-28,3.8828,3.9496,3.8828,3.9163
1962-10-01,3.9163,3.9163,3.7743,3.7743
1962-10-02,3.8076,3.8912,3.8076,3.8828
1962-10-03,3.8828,3.9496,3.8492,3.8662
1962-10-04,3.8662,3.9666,3.8492,3.9666
1962-10-05,3.9666,4.0079,3.9412,3.9913
1962-10-08,3.9913,4.0079,3.9829,3.9913
1962-10-09,3.9997,4.0749,3.9997,4.0582
1962-10-10,4.0582,4.1169,3.9579,3.9829
1962-10-11,3.9829,4.0332,3.9412,3.9496
1962-10-12,3.9496,3.9579,3.8996,3.9412
1962-10-15,3.9579,4.0667,3.9579,4.0667
1962-10-16,4.0667,4.083,3.9666,3.9666
1962-10-17,3.9666,4.0414,3.9412,4.0079
1962-10-18,4.0079,4.0332,3.9329,3.9329
1962-10-19,3.9329,3.9496,3.8578,3.8578
1962-10-22,3.8243,3.8243,3.7577,3.7993
1962-10-23,3.7993,3.7993,3.6572,3.6572
1962-10-24,3.6572,3.7658,3.5655,3.7658
1962-10-25,3.7658,3.7743,3.6824,3.749
1962-10-26,3.7326,3.7326,3.649,3.6741
1962-10-29,3.749,3.8243,3.749,3.8163
1962-10-30,3.8163,3.8996,3.7828,3.8996
1962-10-31,3.8912,3.8912,3.8163,3.8329
1962-11-01,3.8329,3.8996,3.791,3.8996
1962-11-02,3.8996,4.1,3.8492,3.9579
1962-11-05,3.9829,4.0332,3.9829,4.0079
1962-11-07,4.0079,4.0582,3.9496,4.0079
1962-11-08,4.0079,4.0414,3.9412,3.9412
1962-11-09,3.9579,4.0079,3.9579,4.0079
1962-11-12,4.0497,4.1415,4.0497,4.1415
1962-11-13,4.1415,4.1581,4.0667,4.0667
1962-11-14,4.0667,4.1581,4.0667,4.15
1962-11-15,4.15,4.2084,4.1249,4.1249
1962-11-16,4.1249,4.192,4.0916,4.192
1962-11-19,4.192,4.192,4.1249,4.1249
1962-11-20,4.1415,4.192,4.1415,4.1753
1962-11-21,4.1753,4.2084,4.15,4.1834
1962-11-23,4.1834,4.3005,4.1581,4.3005
1962-11-26,4.3005,4.3758,4.2839,4.3084
1962-11-27,4.3084,4.3839,4.2839,4.3758
1962-11-28,4.3839,4.4421,4.3839,4.4089
1962-11-29,4.4089,4.4421,4.4004,4.4421
1962-11-30,4.4421,4.4508,4.4004,4.4171
1962-12-03,4.3758,4.3758,4.3251,4.3421
1962-12-04,4.3504,4.4421,4.3504,4.4341
1962-12-05,4.4341,4.5008,4.4171,4.4171
1962-12-06,4.4171,4.4756,4.4089,4.4171
1962-12-07,4.4171,4.4675,4.4089,4.4089
1962-12-10,4.4089,4.4421,4.3084,4.3084
1962-12-11,4.3084,4.3504,4.2839,4.2919
1962-12-12,4.3171,4.3758,4.3171,4.3669
1962-12-13,4.3669,4.3839,4.2919,4.3005
1962-12-14,4.3005,4.3339,4.2755,4.3171
1962-12-17,4.3171,4.3421,4.2585,4.267
1962-12-18,4.267,4.3005,4.2252,4.2335
1962-12-19,4.2335,4.3504,4.2335,4.3504
1962-12-20,4.3504,4.4004,4.3504,4.3504
1962-12-21,4.3504,4.3589,4.267,4.267
1962-12-24,4.3005,4.3669,4.3005,4.3669
1962-12-26,4.3669,4.4004,4.3504,4.3669
1962-12-27,4.3669,4.3839,4.3171,4.3339
1962-12-28,4.3339,4.3589,4.3251,4.3504
1962-12-31,4.3504,4.3758,4.3171,4.3251
1963-01-02,4.3251,4.3251,4.2585,4.267
1963-01-03,4.2755,4.3921,4.2755,4.3921
1963-01-04,4.4004,4.4421,4.4004,4.4004
1963-01-07,4.4004,4.4421,4.3589,4.3669
1963-01-08,4.4004,4.4756,4.4004,4.4756
1963-01-09,4.4756,4.5173,4.4508,4.4756
1963-01-10,4.484,4.5339,4.484,4.509
1963-01-11,4.509,4.5173,4.4756,4.5173
1963-01-14,4.5173,4.6008,4.5173,4.5924
1963-01-15,4.5924,4.6342,4.5761,4.6008
1963-01-16,4.5924,4.5924,4.509,4.5258
1963-01-17,4.5339,4.6008,4.5339,4.5842
1963-01-18,4.5842,4.6092,4.5506,4.5761
1963-01-21,4.5761,4.5924,4.5258,4.5924
1963-01-22,4.5924,4.6426,4.5924,4.6008
1963-01-23,4.6008,4.6178,4.5842,4.5924
1963-01-24,4.5924,4.6426,4.5924,4.6092
1963-01-25,4.6092,4.6426,4.5924,4.6426
1963-01-28,4.6512,4.7009,4.6512,4.7009
1963-01-29,4.7009,4.7009,4.6676,4.6762
1963-01-30,4.6762,4.6762,4.6342,4.6512
1963-01-31,4.6512,4.7009,4.6342,4.6927
1963-02-01,4.6927,4.7094,4.6844,4.6927
1963-02-04,4.6927,4.7009,4.6512,4.6595
1963-02-05,4.6595,4.6762,4.626,4.6676
1963-02-06,4.6676,4.6927,4.6342,4.6342
1963-02-07,4.6426,4.6844,4.6426,4.6426
1963-02-08,4.6426,4.6676,4.6342,4.6595
1963-02-11,4.6595,4.6595,4.6342,4.6342
1963-02-12,4.6342,4.6426,4.5842,4.6426
1963-02-13,4.6426,4.6595,4.626,4.626
1963-02-14,4.626,4.6595,4.626,4.6342
1963-02-15,4.6342,4.6512,4.626,4.6426
1963-02-18,4.6426,4.6512,4.6342,4.6342
1963-02-19,4.6342,4.6342,4.5924,4.5924
1963-02-20,4.5842,4.5842,4.5428,4.5591
1963-02-21,4.5591,4.5591,4.5008,4.5506
1963-02-25,4.5428,4.5428,4.4756,4.4756
1963-02-26,4.4756,4.5339,4.4675,4.509
1963-02-27,4.509,4.5339,4.4924,4.4924
1963-02-28,4.4924,4.4924,4.4255,4.4341
1963-03-01,4.4341,4.4756,4.4004,4.4004
1963-03-04,4.4341,4.484,4.4341,4.4756
1963-03-05,4.4756,4.4756,4.4508,4.4508
1963-03-06,4.4508,4.484,4.4341,4.484
1963-03-07,4.509,4.5428,4.509,4.5339
1963-03-08,4.5339,4.5428,4.509,4.5258
1963-03-11,4.5258,4.5506,4.5258,4.5258
1963-03-12,4.5258,4.5428,4.5173,4.5258
1963-03-13,4.5258,4.5506,4.5258,4.5339
1963-03-14,4.5339,4.5842,4.5173,4.5428
1963-03-15,4.5428,4.5842,4.5258,4.5842
1963-03-18,4.5842,4.6092,4.5339,4.5428
1963-03-19,4.5428,4.5591,4.5258,4.5428
1963-03-20,4.5506,4.6008,4.5506,4.5924
1963-03-21,4.5924,4.6008,4.5591,4.5591
1963-03-22,4.5591,4.6008,4.5591,4.5924
1963-03-25,4.5924,4.6092,4.5842,4.5842
1963-03-26,4.5924,4.6342,4.5924,4.6178
1963-03-27,4.6342,4.6676,4.6342,4.6676
1963-03-28,4.6676,4.6927,4.6595,4.6595
1963-03-29,4.6595,4.6762,4.6595,4.6676
1963-04-01,4.6676,4.6762,4.6595,4.6676
1963-04-02,4.6676,4.6762,4.626,4.626
1963-04-03,4.6342,4.6844,4.6342,4.6762
1963-04-04,4.7094,4.7679,4.7094,4.751
1963-04-05,4.7595,4.9016,4.7595,4.9016
1963-04-08,4.9267,4.9935,4.9267,4.9849
1963-04-09,4.9849,4.9935,4.9098,4.9267
1963-04-10,4.9267,4.9431,4.8433,4.9016
1963-04-11,4.9016,4.9849,4.8766,4.9431
1963-04-15,4.9431,4.9766,4.9098,4.9431
1963-04-16,4.9431,4.96,4.9098,4.9098
1963-04-17,4.9098,4.9183,4.868,4.8849
1963-04-18,4.8849,4.9183,4.8849,4.8849
1963-04-19,4.9098,4.9849,4.9098,4.9849
1963-04-22,5.0184,5.0937,5.0184,5.0685
1963-04-23,5.0685,5.1104,5.0519,5.1104
1963-04-24,5.1189,5.1687,5.1189,5.1269
1963-04-25,5.1269,5.1519,5.1018,5.1519
1963-04-26,5.1519,5.2104,5.1269,5.2104
1963-04-29,5.2104,5.2607,5.1687,5.1941
1963-04-30,5.1941,5.219,5.1189,5.1436
1963-05-01,5.1436,5.1941,5.1269,5.1519
1963-05-02,5.1601,5.2021,5.1601,5.1941
1963-05-03,5.1941,5.1941,5.1601,5.1601
1963-05-06,5.1519,5.1519,5.0769,5.0769
1963-05-07,5.0769,5.1269,5.0685,5.1018
1963-05-08,5.1104,5.2104,5.1104,5.2104
1963-05-09,5.2104,5.2689,5.2104,5.219
1963-05-10,5.219,5.2689,5.1854,5.2689
1963-05-13,5.2607,5.2607,5.2104,5.2273
1963-05-14,5.2273,5.2356,5.2021,5.219
1963-05-15,5.219,5.2438,5.219,5.2356
1963-05-16,5.2356,5.2523,5.2021,5.2104
1963-05-17,5.2104,5.2607,5.1687,5.1772
1963-05-20,5.1772,5.1941,5.1269,5.1269
1963-05-21,5.1269,5.1772,5.1189,5.1772
1963-05-22,5.1772,5.2523,5.1601,5.1687
1963-05-23,5.1687,5.1854,5.1519,5.1519
1963-05-24,5.1519,5.1772,5.1189,5.1355
1963-05-27,5.1269,5.1269,5.0769,5.0769
1963-05-28,5.0937,5.1436,5.0937,5.1018
1963-05-29,5.1355,5.2104,5.1355,5.2104
1963-05-31,5.2356,5.3024,5.2356,5.2856
1963-06-03,5.2856,5.3024,5.2438,5.2438
1963-06-04,5.2438,5.2856,5.2356,5.2523
1963-06-05,5.2523,5.2775,5.2021,5.2104
1963-06-06,5.2104,5.2356,5.1854,5.2104
1963-06-07,5.2104,5.219,5.1854,5.1941
1963-06-10,5.1941,5.1941,5.1189,5.1269
1963-06-11,5.1355,5.1854,5.1355,5.1519
1963-06-12,5.1519,5.2021,5.1355,5.1941
1963-06-13,5.1941,5.2523,5.1189,5.1355
1963-06-14,5.1355,5.1601,5.1189,5.1355
1963-06-17,5.1355,5.1355,5.0854,5.0937
1963-06-18,5.0937,5.1355,5.0854,5.0854
1963-06-19,5.0854,5.0937,5.06,5.0685
1963-06-20,5.0685,5.0685,4.9935,5.0435
1963-06-21,5.0435,5.06,5.0435,5.0519
1963-06-24,5.0519,5.0685,4.9766,4.9766
1963-06-25,4.9766,5.0353,4.9431,4.9519
1963-06-26,4.9519,4.9519,4.8597,4.8597
1963-06-27,4.8597,4.9016,4.7849,4.8096
1963-06-28,4.8267,4.8597,4.8267,4.8346
1963-07-01,4.8346,4.8346,4.7179,4.7264
1963-07-02,4.751,4.8597,4.751,4.8597
1963-07-03,4.868,4.9098,4.868,4.8934
1963-07-05,4.9016,4.9349,4.9016,4.9349
1963-07-08,4.9183,4.9183,4.8267,4.8346
1963-07-09,4.8346,4.9098,4.8096,4.8849
1963-07-10,4.8766,4.8766,4.8267,4.8433
1963-07-11,4.8433,4.8766,4.8096,4.8096
1963-07-12,4.8096,4.8346,4.7849,4.7849
1963-07-15,4.7849,4.8096,4.7595,4.7928
1963-07-16,4.7928,4.8267,4.7928,4.8267
1963-07-17,4.8267,4.868,4.7849,4.8015
1963-07-18,4.8015,4.8182,4.7595,4.7595
1963-07-19,4.7595,4.7679,4.743,4.7595
1963-07-22,4.7595,4.7679,4.7264,4.743
1963-07-23,4.743,4.7928,4.7264,4.7264
1963-07-24,4.7264,4.7762,4.7094,4.751
1963-07-25,4.751,4.7849,4.751,4.751
1963-07-26,4.751,4.7849,4.751,4.7849
1963-07-29,4.7849,4.8015,4.7849,4.8015
1963-07-30,4.8267,4.9098,4.8267,4.9098
1963-07-31,4.9098,4.9683,4.8182,4.8182
1963-08-01,4.8182,4.8433,4.7679,4.8182
1963-08-02,4.8182,4.8433,4.7849,4.7849
1963-08-05,4.7849,4.8514,4.7849,4.8514
1963-08-06,4.8514,4.9016,4.8346,4.8934
1963-08-07,4.8934,4.8934,4.8433,4.8433
1963-08-08,4.8433,4.8934,4.8182,4.868
1963-08-09,4.868,4.9267,4.8597,4.9183
1963-08-12,4.9349,4.96,4.9349,4.9349
1963-08-13,4.9519,5.0353,4.9519,5.0353
1963-08-14,5.0353,5.0937,4.9935,5.0685
1963-08-15,5.0685,5.0854,5.0353,5.0353
1963-08-16,5.0353,5.0685,5.0184,5.0184
1963-08-19,5.0184,5.0435,5.0099,5.0099
1963-08-20,5.0099,5.0353,4.9519,4.9519
1963-08-21,4.96,4.9849,4.96,4.9766
1963-08-22,4.9766,5.0184,4.96,5.0184
1963-08-23,5.0184,5.0353,4.9683,4.9683
1963-08-26,4.9849,5.0099,4.9849,4.9849
1963-08-27,4.9849,4.9935,4.9016,4.9016
1963-08-28,4.9016,4.9683,4.9016,4.9183
1963-08-29,4.9183,4.9519,4.9016,4.9016
1963-08-30,4.9016,4.9349,4.868,4.9267
1963-09-03,4.9349,5.0099,4.9349,4.96
1963-09-04,4.9683,5.0099,4.9683,4.9683
1963-09-05,4.9683,5.0099,4.9519,4.9935
1963-09-06,5.0017,5.1269,5.0017,5.0854
1963-09-09,5.0854,5.1269,5.0435,5.06
1963-09-10,5.06,5.1104,5.06,5.0769
1963-09-11,5.0769,5.1189,5.0685,5.0685
1963-09-12,5.0685,5.0854,5.0353,5.06
1963-09-13,5.06,5.1018,5.0519,5.0519
1963-09-16,5.0519,5.0854,5.0435,5.0435
1963-09-17,5.0435,5.0937,5.0435,5.0435
1963-09-18,5.0435,5.06,4.96,4.9849
1963-09-19,4.9849,5.0435,4.9849,5.0353
1963-09-20,5.0353,5.0854,5.0353,5.06
1963-09-23,5.06,5.1018,5.0353,5.0353
1963-09-24,5.0435,5.1269,5.0435,5.1269
1963-09-25,5.1269,5.2021,5.0769,5.0769
1963-09-26,5.0769,5.1018,4.9935,4.9935
1963-09-27,4.9935,5.0184,4.9519,4.9683
1963-09-30,4.9683,5.0184,4.9519,5.0099
1963-10-01,5.0099,5.0519,4.9849,4.9849
1963-10-02,4.9849,5.0017,4.9683,4.9766
1963-10-03,4.9849,5.0769,4.9849,5.0685
1963-10-04,5.1018,5.1519,5.1018,5.1189
1963-10-07,5.1189,5.2021,5.1018,5.2021
1963-10-08,5.2021,5.2273,5.1269,5.1269
1963-10-09,5.1269,5.1854,5.1104,5.1269
1963-10-10,5.1269,5.1601,5.1018,5.1601
1963-10-11,5.1601,5.219,5.1601,5.2021
1963-10-14,5.2021,5.2775,5.2021,5.2775
1963-10-15,5.2856,5.3358,5.2856,5.294
1963-10-16,5.294,5.4444,5.294,5.436
1963-10-17,5.4523,5.503,5.4523,5.4523
1963-10-18,5.4523,5.4944,5.4444,5.4858
1963-10-21,5.4858,5.5277,5.4778,5.4778
1963-10-22,5.4611,5.4611,5.3691,5.3858
1963-10-23,5.3858,5.436,5.3525,5.3525
1963-10-24,5.3774,5.4276,5.3774,5.3774
1963-10-25,5.4026,5.4778,5.4026,5.4693
1963-10-28,5.4944,5.5614,5.4944,5.5111
1963-10-29,5.5111,5.5526,5.4191,5.4444
1963-10-30,5.4444,5.4444,5.3691,5.3691
1963-10-31,5.3691,5.4778,5.3608,5.4778
1963-11-01,5.4778,5.4944,5.4026,5.411
1963-11-04,5.411,5.4444,5.3441,5.3608
1963-11-06,5.3608,5.3608,5.2856,5.319
1963-11-07,5.319,5.3774,5.319,5.3358
1963-11-08,5.3608,5.3944,5.3608,5.3691
1963-11-11,5.3774,5.4191,5.3774,5.3944
1963-11-12,5.4026,5.4611,5.4026,5.411
1963-11-13,5.411,5.4611,5.411,5.4276
1963-11-14,5.4276,5.4444,5.3691,5.3944
1963-11-15,5.3944,5.411,5.3525,5.3774
1963-11-18,5.3691,5.3691,5.294,5.3275
1963-11-19,5.3275,5.3525,5.2356,5.2356
1963-11-20,5.2356,5.319,5.219,5.2356
1963-11-21,5.2356,5.2607,5.1436,5.1436
1963-11-22,5.1436,5.219,5.1104,5.1601
1963-11-26,5.1601,5.2273,5.1436,5.2273
1963-11-27,5.2273,5.294,5.219,5.294
1963-11-29,5.294,5.3944,5.294,5.3774
1963-12-02,5.411,5.4523,5.411,5.4523
1963-12-03,5.4523,5.4693,5.3944,5.4276
1963-12-04,5.4191,5.4191,5.3525,5.3525
1963-12-05,5.3691,5.4276,5.3691,5.4026
1963-12-06,5.4026,5.436,5.3608,5.3691
1963-12-09,5.3691,5.3774,5.319,5.3608
1963-12-10,5.3525,5.3525,5.319,5.3275
1963-12-11,5.3275,5.3525,5.319,5.319
1963-12-12,5.319,5.3358,5.2689,5.2689
1963-12-13,5.2689,5.294,5.2523,5.2689
1963-12-16,5.2689,5.319,5.2689,5.2775
1963-12-17,5.294,5.3608,5.294,5.3608
1963-12-18,5.3608,5.4444,5.3608,5.3608
1963-12-19,5.3608,5.3944,5.3441,5.3525
1963-12-20,5.3525,5.3691,5.3024,5.3608
1963-12-23,5.3608,5.3944,5.3441,5.3525
1963-12-24,5.3608,5.4026,5.3608,5.3691
1963-12-26,5.3858,5.4444,5.3858,5.436
1963-12-27,5.4693,5.5196,5.4693,5.4693
1963-12-30,5.4944,5.5443,5.4944,5.5277
1963-12-31,5.5443,5.6449,5.5443,5.6195
1964-01-02,5.6528,5.7533,5.6528,5.7283
1964-01-03,5.7283,5.7782,5.6528,5.6528
1964-01-06,5.6699,5.7453,5.6699,5.6699
1964-01-07,5.6699,5.7283,5.6279,5.6279
1964-01-08,5.6279,5.7197,5.6279,5.6867
1964-01-09,5.6945,5.8615,5.6945,5.8615
1964-01-10,5.8615,5.9201,5.8615,5.9119
1964-01-13,5.9119,6.0036,5.8784,5.937
1964-01-14,5.937,6.0036,5.9285,5.9285
1964-01-15,6.0208,6.2209,6.0208,6.2209
1964-01-16,6.2209,6.2877,6.0624,6.0956
1964-01-17,6.0956,6.2041,6.087,6.1291
1964-01-20,6.1291,6.2543,6.1208,6.1208
1964-01-21,6.1208,6.1707,6.0036,6.0036
1964-01-22,6.0287,6.104,6.0287,6.0624
1964-01-23,6.0703,6.1208,6.0703,6.087
1964-01-24,6.087,6.104,6.0373,6.0538
